,Localtime,gps_epoch_second,Receivetime,Week,Seconds,ImuStatus,ZAccel,YAccel,XAccel,ZGyro,YGyro,XGyro,CrcCheck
587,2024-02-03_02:04:18,1706925858.62,1706925858629437,2299,525876620,3848666624,-324713385,3147744,3491788,10663626,-18800,2262907,3755486960
588,2024-02-03_02:04:18,1706925858.628,1706925858636586,2299,525876628,3848666624,-325082437,693644,7419334,10669844,-259863,2344075,4114570946
589,2024-02-03_02:04:18,1706925858.636,1706925858644506,2299,525876636,3848666624,-321057866,4334286,8857480,10755586,-779246,3292659,1407495875
590,2024-02-03_02:04:18,1706925858.644,1706925858652544,2299,525876644,3848666624,-321550308,3334677,9064459,10650565,-688521,3852785,1321152975
591,2024-02-03_02:04:18,1706925858.652,1706925858661612,2299,525876652,3848666624,-322104688,5240261,10860326,10678334,-541766,3248115,2535675909
592,2024-02-03_02:04:18,1706925858.66,1706925858668690,2299,525876660,3848666624,-323154961,5929822,12059983,10591948,-327430,2934836,4111174476
593,2024-02-03_02:04:18,1706925858.668,1706925858676608,2299,525876668,3848666624,-322079001,5276466,13218820,10264664,690797,2188164,1740627053
594,2024-02-03_02:04:18,1706925858.676,1706925858684549,2299,525876676,3848666624,-320606096,2372050,10808980,9955540,1287528,2120355,2533076572
595,2024-02-03_02:04:18,1706925858.684,1706925858692508,2299,525876684,3848666624,-319936656,5030597,8383712,9604153,1096945,2229450,2775616148
596,2024-02-03_02:04:18,1706925858.692,1706925858700659,2299,525876692,3848666624,-323947879,8944595,7879960,9530235,-274157,318222,3614773849
597,2024-02-03_02:04:18,1706925858.7,1706925858708557,2299,525876700,3848666624,-330629370,1064431,11397629,9548262,-2049070,-1463025,2358448563
598,2024-02-03_02:04:18,1706925858.708,1706925858716325,2299,525876708,3848666624,-329335052,-1155876,15649672,9105884,-2238043,-242124,3780830869
599,2024-02-03_02:04:18,1706925858.716,1706925858725332,2299,525876716,3848732160,-323494540,4596941,16373161,8441391,-1730840,1304778,3399425892
600,2024-02-03_02:04:18,1706925858.724,1706925858732329,2299,525876724,3848666624,-322129385,5485349,13647796,8020927,-1526726,500494,3269897742
601,2024-02-03_02:04:18,1706925858.732,1706925858740469,2299,525876732,3848666624,-327022787,5182385,11094594,8035860,-1854284,-743484,830353733
602,2024-02-03_02:04:18,1706925858.74,1706925858748564,2299,525876740,3848666624,-332965699,5188484,10530106,8177989,-2460827,-1288716,3974440019
603,2024-02-03_02:04:18,1706925858.748,1706925858756514,2299,525876748,3848666624,-333190068,5139095,8894302,8137419,-3287081,-494679,2660222178
604,2024-02-03_02:04:18,1706925858.756,1706925858764512,2299,525876756,3848666624,-334152832,2343381,12329252,8104559,-3753268,-1557779,2722108852
605,2024-02-03_02:04:18,1706925858.764,1706925858772224,2299,525876764,3848666624,-332612164,6652688,16725919,7548327,-2536151,-2703971,4171277102
606,2024-02-03_02:04:18,1706925858.772,1706925858780603,2299,525876772,3848666624,-335257294,7641239,13303143,6689967,-456254,-3778825,4154612378
607,2024-02-03_02:04:18,1706925858.78,1706925858788450,2299,525876780,3848666624,-345640595,4610439,8701263,6535728,252284,-5351623,3187771441
608,2024-02-03_02:04:18,1706925858.788,1706925858796477,2299,525876788,3848666624,-352197399,2858421,12194116,6622535,-39603,-3377879,1194341671
609,2024-02-03_02:04:18,1706925858.796,1706925858804649,2299,525876796,3848666624,-347666580,4993534,12916542,6103566,1417418,-1049182,2131227351
610,2024-02-03_02:04:18,1706925858.804,1706925858812561,2299,525876804,3848666624,-344679535,7517833,11835759,5746279,3143530,-852935,933479126
611,2024-02-03_02:04:18,1706925858.812,1706925858821285,2299,525876812,3848666624,-349550082,3283031,15384151,5739635,4004956,-2091413,1070226387
612,2024-02-03_02:04:18,1706925858.82,1706925858828244,2299,525876820,3848666624,-353755499,1505822,14708452,5456970,4908760,-319547,1878121906
613,2024-02-03_02:04:18,1706925858.828,1706925858836355,2299,525876828,3848666624,-352374737,2185353,11348058,4970239,5403014,1964105,1310779957
614,2024-02-03_02:04:18,1706925858.836,1706925858844520,2299,525876836,3848666624,-346308123,4253967,10980336,5153419,3843293,3000789,2221874868
615,2024-02-03_02:04:18,1706925858.844,1706925858852370,2299,525876844,3848666624,-341898829,3150991,12658181,5604073,1319644,4340093,3945900577
616,2024-02-03_02:04:18,1706925858.852,1706925858860427,2299,525876852,3848666624,-335906545,3621207,15446531,5485727,-327636,4597539,2752787965
617,2024-02-03_02:04:18,1706925858.86,1706925858868353,2299,525876860,3848666624,-329299309,5453948,16478376,4871332,-643000,4957413,4090618596
618,2024-02-03_02:04:18,1706925858.868,1706925858876237,2299,525876868,3848666624,-328618947,5109552,16267634,4639383,-1141899,5263578,4088015372
619,2024-02-03_02:04:18,1706925858.876,1706925858884410,2299,525876876,3848666624,-329825528,5030199,13312102,4839317,-1850841,4492707,2610375
620,2024-02-03_02:04:18,1706925858.884,1706925858892447,2299,525876884,3848666624,-324763967,5795415,9997927,4570685,-1946884,4225091,1675518079
621,2024-02-03_02:04:18,1706925858.892,1706925858900419,2299,525876892,3848666624,-321849263,3650302,8633640,4335424,-2982039,2104985,4264773589
622,2024-02-03_02:04:18,1706925858.9,1706925858908276,2299,525876900,3848666624,-319706110,2584241,9449181,4550351,-4666233,1115009,1051570076
623,2024-02-03_02:04:18,1706925858.908,1706925858916418,2299,525876908,3848666624,-319895954,1211802,10160995,4611017,-5784044,78141,2552616563
624,2024-02-03_02:04:18,1706925858.916,1706925858924486,2299,525876916,3848666624,-321257024,1420599,9296711,4037636,-5953578,-1384403,1234636915
625,2024-02-03_02:04:18,1706925858.924,1706925858932325,2299,525876924,3848666624,-318858824,3768195,10212968,3785483,-6119037,-224707,1639860784
626,2024-02-03_02:04:18,1706925858.932,1706925858940335,2299,525876932,3848666624,-318495114,5101404,12492731,3802300,-5260899,-545905,1033395170
627,2024-02-03_02:04:18,1706925858.94,1706925858949953,2299,525876940,3848666624,-321425097,2970416,13540604,3330834,-3486533,-797320,3537531421
628,2024-02-03_02:04:18,1706925858.948,1706925858956772,2299,525876948,3848666624,-321051583,904801,9032049,3322505,-2810990,-1051454,2625759659
629,2024-02-03_02:04:18,1706925858.956,1706925858964401,2299,525876956,3848666624,-316733897,2485149,9233688,3644035,-2952813,-1224029,1571605354
630,2024-02-03_02:04:18,1706925858.964,1706925858972461,2299,525876964,3848666624,-319005963,1706393,13384870,3443867,-2386683,-1967339,1302149336
631,2024-02-03_02:04:18,1706925858.972,1706925858980515,2299,525876972,3848666624,-318730808,3378126,13765259,2955210,-1158109,-3639285,3999706945
632,2024-02-03_02:04:18,1706925858.98,1706925858988469,2299,525876980,3848666624,-314841105,2669138,11026726,2157378,-152910,-4316797,2743830552
633,2024-02-03_02:04:18,1706925858.988,1706925858996363,2299,525876988,3848666624,-313297465,2687871,10333246,1693575,-54406,-4877328,2069410335
634,2024-02-03_02:04:19,1706925858.996,1706925859005278,2299,525876996,3848666624,-312649547,1994094,11544362,1731983,-1364401,-4826880,1042438343
635,2024-02-03_02:04:19,1706925859.004,1706925859012708,2299,525877004,3848666624,-308654286,4125959,13493050,1564587,-2852273,-5706288,2046153648
636,2024-02-03_02:04:19,1706925859.012,1706925859020590,2299,525877012,3848666624,-312277781,3662698,18759482,1215318,-3459654,-9119200,3218146195
637,2024-02-03_02:04:19,1706925859.02,1706925859028539,2299,525877020,3848666624,-322966151,68540,23503214,1017244,-2788875,-11386483,3158450969
638,2024-02-03_02:04:19,1706925859.028,1706925859036283,2299,525877028,3848666624,-324169162,2370733,19652839,805276,-1747203,-10568360,71013002
639,2024-02-03_02:04:19,1706925859.036,1706925859045285,2299,525877036,3848666624,-325074349,4810092,14323508,881219,-1585909,-11135674,608403021
640,2024-02-03_02:04:19,1706925859.044,1706925859052459,2299,525877044,3848666624,-335233983,-607963,15632071,1043170,-2163698,-12071522,2342366135
641,2024-02-03_02:04:19,1706925859.052,1706925859060457,2299,525877052,3848666624,-332426735,-1182673,13599633,588190,-2830085,-9946970,2046122339
642,2024-02-03_02:04:19,1706925859.06,1706925859068354,2299,525877060,3848666624,-324946732,123674,14220336,725577,-3616890,-9875374,34987716
643,2024-02-03_02:04:19,1706925859.068,1706925859076444,2299,525877068,3848666624,-331920972,-6322697,18764773,564875,-3685536,-8966450,3035063409
644,2024-02-03_02:04:19,1706925859.076,1706925859084274,2299,525877076,3848666624,-329423778,-2467923,17985986,32635,-3374537,-4952778,2557555792
645,2024-02-03_02:04:19,1706925859.084,1706925859092392,2299,525877084,3848666624,-322266289,3618772,17472757,-31532,-3406981,-4687433,556205177
646,2024-02-03_02:04:19,1706925859.092,1706925859100433,2299,525877092,3848666624,-330062159,1084082,20764765,-351766,-2500701,-7338759,3465233615
647,2024-02-03_02:04:19,1706925859.1,1706925859108259,2299,525877100,3848666624,-334082020,-1313942,18284160,-957450,-1302556,-6735526,2252998349
648,2024-02-03_02:04:19,1706925859.108,1706925859116277,2299,525877108,3848666624,-326756043,1338003,13435872,-667991,-2362835,-4546097,3591506196
649,2024-02-03_02:04:19,1706925859.116,1706925859124351,2299,525877116,3848666624,-332331620,-772964,13115853,123248,-4035678,-6671045,2520871113
650,2024-02-03_02:04:19,1706925859.124,1706925859132343,2299,525877124,3848666624,-335872172,280984,15531587,191100,-5174658,-5885632,4195076351
651,2024-02-03_02:04:19,1706925859.132,1706925859140457,2299,525877132,3848666624,-336022432,187499,19684198,204455,-5488980,-3986589,3421872739
652,2024-02-03_02:04:19,1706925859.14,1706925859148268,2299,525877140,3848666624,-340736964,-3345387,22795850,-332784,-3750542,-3069938,3167860241
653,2024-02-03_02:04:19,1706925859.148,1706925859156363,2299,525877148,3848666624,-341175499,-5252565,19034866,-893534,-2183257,1451434,3079317328
654,2024-02-03_02:04:19,1706925859.156,1706925859164433,2299,525877156,3848666624,-332658064,1904854,14002005,-863806,-2202766,5328829,1009568196
655,2024-02-03_02:04:19,1706925859.164,1706925859172362,2299,525877164,3848666624,-331698851,4856376,14344428,-412237,-2947198,4046523,4044785877
656,2024-02-03_02:04:19,1706925859.172,1706925859180373,2299,525877172,3848666624,-337447320,2798231,14744572,65828,-3383790,904530,3854445759
657,2024-02-03_02:04:19,1706925859.18,1706925859188219,2299,525877180,3848666624,-336940225,1246790,17782821,35374,-2841722,259687,3851143108
658,2024-02-03_02:04:19,1706925859.188,1706925859196223,2299,525877188,3848666624,-335134961,-4944587,21013860,60466,-1820280,1320290,4021980623
659,2024-02-03_02:04:19,1706925859.196,1706925859204578,2299,525877196,3848666624,-324429348,-2045396,20202346,-147591,-325778,4081650,3500599765
660,2024-02-03_02:04:19,1706925859.204,1706925859212431,2299,525877204,3848666624,-316248666,1472534,15568916,-954499,1153612,3693131,872979819
661,2024-02-03_02:04:19,1706925859.212,1706925859220235,2299,525877212,3848666624,-321305967,-581339,13092106,-1314076,925869,-568958,885927788
662,2024-02-03_02:04:19,1706925859.22,1706925859228220,2299,525877220,3848666624,-324421462,2062707,13440825,-725513,-1776155,-2188098,1490306410
663,2024-02-03_02:04:19,1706925859.228,1706925859236439,2299,525877228,3848666624,-326675683,2666579,18218188,-156546,-3683814,-1432336,4214182220
664,2024-02-03_02:04:19,1706925859.236,1706925859244278,2299,525877236,3848666624,-334175900,357441,23150764,-756288,-2037545,-1865072,2931618268
665,2024-02-03_02:04:19,1706925859.244,1706925859252401,2299,525877244,3848666624,-336641440,1608952,19523217,-1424168,-934316,-1019823,3315736614
666,2024-02-03_02:04:19,1706925859.252,1706925859260511,2299,525877252,3848666624,-332089739,3577511,13078992,-1283642,-1354118,-2194271,533491625
667,2024-02-03_02:04:19,1706925859.26,1706925859268293,2299,525877260,3848666624,-331582221,3507213,10735445,-785246,-3089294,-4284095,3930330585
668,2024-02-03_02:04:19,1706925859.268,1706925859276357,2299,525877268,3848666624,-340225479,-3894929,14788123,-782809,-4218938,-5185815,3042061964
669,2024-02-03_02:04:19,1706925859.276,1706925859284366,2299,525877276,3848666624,-335928097,-1595313,16737732,-1312515,-4145876,-2388359,896635036
670,2024-02-03_02:04:19,1706925859.284,1706925859292348,2299,525877284,3848666624,-330578441,197004,16619522,-1216812,-4475729,-952305,3099783132
671,2024-02-03_02:04:19,1706925859.292,1706925859300311,2299,525877292,3848666624,-331484061,-316064,20393825,-1668471,-3367512,-2068704,3007495719
672,2024-02-03_02:04:19,1706925859.3,1706925859308219,2299,525877300,3848666624,-329633327,546347,18440658,-2784257,-1891221,-1453833,593579961
673,2024-02-03_02:04:19,1706925859.308,1706925859316327,2299,525877308,3848666624,-330270091,1133387,14288631,-2884050,-1552917,-2854079,2795555846
674,2024-02-03_02:04:19,1706925859.316,1706925859324399,2299,525877316,3848666624,-333778373,217076,14297360,-2284925,-2226148,-4522400,4224949827
675,2024-02-03_02:04:19,1706925859.324,1706925859332302,2299,525877324,3848666624,-335833257,-3249039,13244040,-2031180,-2374555,-5724922,106474605
676,2024-02-03_02:04:19,1706925859.332,1706925859340388,2299,525877332,3848666624,-332051663,1094989,16383174,-1813172,-2026327,-4977345,187267851
677,2024-02-03_02:04:19,1706925859.34,1706925859348389,2299,525877340,3848666624,-336982649,-2965208,20799808,-1777571,-891321,-4687090,2320455153
678,2024-02-03_02:04:19,1706925859.348,1706925859356242,2299,525877348,3848666624,-340846239,-1077604,21054248,-2411695,1139255,-3375742,2322212040
679,2024-02-03_02:04:19,1706925859.356,1706925859364416,2299,525877356,3848666624,-340648683,2435413,18332120,-3140249,2113393,-993187,893789531
680,2024-02-03_02:04:19,1706925859.364,1706925859372511,2299,525877364,3848666624,-341412584,281718,18003505,-3195763,1393131,-347730,1024750794
681,2024-02-03_02:04:19,1706925859.372,1706925859380343,2299,525877372,3848666624,-338512102,3335472,18464322,-2686381,-456255,24749,881244223
682,2024-02-03_02:04:19,1706925859.38,1706925859388274,2299,525877380,3848666624,-338733505,2372160,18964125,-2072548,-2417197,-347642,137596938
683,2024-02-03_02:04:19,1706925859.388,1706925859396404,2299,525877388,3848666624,-342605497,-1157640,22694242,-2179102,-2353323,-1809447,1166790424
684,2024-02-03_02:04:19,1706925859.396,1706925859404571,2299,525877396,3848666624,-340868740,669600,22806523,-2560010,-2147679,-466510,922890100
685,2024-02-03_02:04:19,1706925859.404,1706925859412398,2299,525877404,3848666624,-335197248,-358038,18469451,-2362904,-2904636,750795,4268777295
686,2024-02-03_02:04:19,1706925859.412,1706925859420861,2299,525877412,3848666624,-330297658,-1250683,14439137,-2044307,-3595117,518065,842974135
687,2024-02-03_02:04:19,1706925859.42,1706925859428497,2299,525877420,3848601088,-328653132,852263,15363153,-1628350,-5366591,1120881,1270571856
688,2024-02-03_02:04:19,1706925859.428,1706925859436733,2299,525877428,3848666624,-327674739,916999,18192329,-1340291,-6835325,4521,3978022950
689,2024-02-03_02:04:19,1706925859.436,1706925859444523,2299,525877436,3848666624,-324539125,-396730,18415206,-1099815,-7667823,1036179,1888725537
690,2024-02-03_02:04:19,1706925859.444,1706925859452400,2299,525877444,3848666624,-321089841,-209335,20520055,-907433,-7467075,1661935,2220409869
691,2024-02-03_02:04:19,1706925859.452,1706925859460799,2299,525877452,3848666624,-313884483,4119839,17958194,-1175431,-6223241,331428,2687804559
692,2024-02-03_02:04:19,1706925859.46,1706925859468624,2299,525877460,3848666624,-311542067,4471541,11878667,-1452188,-4750801,-3454762,1436821199
693,2024-02-03_02:04:19,1706925859.468,1706925859476345,2299,525877468,3848666624,-319615108,-11249,14919328,-930269,-4378665,-6208787,3221361784
694,2024-02-03_02:04:19,1706925859.476,1706925859484526,2299,525877476,3848666624,-319708314,-689342,17874923,-687772,-3135758,-6779636,2215324753
695,2024-02-03_02:04:19,1706925859.484,1706925859492677,2299,525877484,3848666624,-315659884,944574,14265034,-1249437,-87045,-7641582,1872505646
696,2024-02-03_02:04:19,1706925859.492,1706925859500708,2299,525877492,3848666624,-319282623,-641111,13574737,-1327720,1430102,-8579144,238619845
697,2024-02-03_02:04:19,1706925859.5,1706925859508463,2299,525877500,3848666624,-319626956,-1438971,13913759,-1102425,1685159,-9660592,2248070013
698,2024-02-03_02:04:19,1706925859.508,1706925859516477,2299,525877508,3848666624,-318293592,-2704335,16360589,-1606455,3393574,-9561136,262025845
699,2024-02-03_02:04:19,1706925859.516,1706925859524727,2299,525877516,3848666624,-319744800,-4564423,16848538,-2413061,5489562,-8606353,3152463423
700,2024-02-03_02:04:19,1706925859.524,1706925859532424,2299,525877524,3848666624,-321401259,-2094756,16396027,-2506540,5813104,-7770796,3620705876
701,2024-02-03_02:04:19,1706925859.532,1706925859540433,2299,525877532,3848666624,-326259495,1483416,18632616,-1725460,5317152,-9535531,1329684312
702,2024-02-03_02:04:19,1706925859.54,1706925859549385,2299,525877540,3848666624,-330581691,-700013,21922679,-1142661,4893033,-9659706,3509795567
703,2024-02-03_02:04:19,1706925859.548,1706925859556928,2299,525877548,3848666624,-327244689,-3184489,24904283,-1694453,5766630,-9087373,3784050524
704,2024-02-03_02:04:19,1706925859.556,1706925859564479,2299,525877556,3848666624,-325469693,1729183,23660455,-1913753,7175665,-8805705,674365777
705,2024-02-03_02:04:19,1706925859.564,1706925859572460,2299,525877564,3848666624,-329970136,-267294,22788418,-2318745,7715781,-7973782,4099108802
706,2024-02-03_02:04:19,1706925859.572,1706925859581291,2299,525877572,3848666624,-332491373,-5007040,20443174,-2876691,6803781,-7370545,2542592039
707,2024-02-03_02:04:19,1706925859.58,1706925859588443,2299,525877580,3848666624,-329170488,-1517683,15923402,-2954133,5103061,-5950725,1877849207
708,2024-02-03_02:04:19,1706925859.588,1706925859596219,2299,525877588,3848666624,-327061377,-2805092,17259171,-2669110,2002764,-4507975,2793235536
709,2024-02-03_02:04:19,1706925859.596,1706925859604483,2299,525877596,3848666624,-324705084,-1844590,21506143,-2557856,-924370,-3914820,515913247
710,2024-02-03_02:04:19,1706925859.604,1706925859613185,2299,525877604,3848666624,-329550853,-331738,24494122,-3191653,-1466748,-4392918,630556140
711,2024-02-03_02:04:19,1706925859.612,1706925859620380,2299,525877612,3848666624,-338992484,-1529572,24142779,-3101645,-2419698,-4719976,1948684086
712,2024-02-03_02:04:19,1706925859.62,1706925859628256,2299,525877620,3848666624,-339845817,-2539040,20195706,-3143616,-2956188,-3055923,3128772958
713,2024-02-03_02:04:19,1706925859.628,1706925859636390,2299,525877628,3848666624,-336495160,-1574724,17508258,-3288350,-3375141,-800323,2394579088
714,2024-02-03_02:04:19,1706925859.636,1706925859645437,2299,525877636,3848666624,-334824953,-1392711,14552835,-2953191,-4920853,719467,4075174384
715,2024-02-03_02:04:19,1706925859.644,1706925859652581,2299,525877644,3848666624,-338105823,-6133899,16411639,-3075856,-5535402,505281,3530607188
716,2024-02-03_02:04:19,1706925859.652,1706925859660313,2299,525877652,3848666624,-336073094,-4502639,17883528,-3746382,-5291855,2255261,874979572
717,2024-02-03_02:04:19,1706925859.66,1706925859668374,2299,525877660,3848666624,-333484882,-3613264,14513588,-3799653,-5979706,6644177,2377876655
718,2024-02-03_02:04:19,1706925859.668,1706925859676475,2299,525877668,3848666624,-330993660,-625079,16045941,-3948120,-6658118,6944497,3345237020
719,2024-02-03_02:04:19,1706925859.676,1706925859684405,2299,525877676,3848666624,-329702986,142118,16259544,-4533821,-6336717,6081658,3008058307
720,2024-02-03_02:04:19,1706925859.684,1706925859692427,2299,525877684,3848666624,-330654001,-3381891,13368180,-4791411,-5669344,6450038,1254072270
721,2024-02-03_02:04:19,1706925859.692,1706925859700237,2299,525877692,3848666624,-324595733,-1880106,14890993,-4533098,-6045545,6221022,703359437
722,2024-02-03_02:04:19,1706925859.7,1706925859709203,2299,525877700,3848666624,-322104976,-3022264,14691139,-4218530,-6325266,5126520,1804858688
723,2024-02-03_02:04:19,1706925859.708,1706925859716337,2299,525877708,3848666624,-322098351,-160470,15346973,-4330162,-6019950,6218468,203077989
724,2024-02-03_02:04:19,1706925859.716,1706925859724453,2299,525877716,3848666624,-325741813,-942701,16445523,-5000761,-4488781,4440519,1536601527
725,2024-02-03_02:04:19,1706925859.724,1706925859732313,2299,525877724,3848666624,-332579292,509126,13165052,-5167037,-3755772,4524469,2989393414
726,2024-02-03_02:04:19,1706925859.732,1706925859741468,2299,525877732,3848666624,-338348700,-4284292,11368720,-4242432,-6162742,7707550,2252881400
727,2024-02-03_02:04:19,1706925859.74,1706925859748299,2299,525877740,3848666624,-335112441,-3177922,17034434,-3657615,-6934761,6946174,3057187760
728,2024-02-03_02:04:19,1706925859.748,1706925859756470,2299,525877748,3848666624,-330703748,152941,20930195,-4669974,-5162352,9261183,2568328248
729,2024-02-03_02:04:19,1706925859.756,1706925859764436,2299,525877756,3848666624,-331016089,-4982909,15979774,-5630739,-4266036,8713569,1886414600
730,2024-02-03_02:04:19,1706925859.764,1706925859772373,2299,525877764,3848666624,-326595815,2001692,15306697,-5216826,-5151097,8210158,543594914
731,2024-02-03_02:04:19,1706925859.772,1706925859780289,2299,525877772,3848666624,-334029629,-1012961,16081518,-5021306,-5114139,9278453,1912978199
732,2024-02-03_02:04:19,1706925859.78,1706925859788535,2299,525877780,3848666624,-338347529,-4907475,14132699,-5222521,-4945838,9819042,3008889150
733,2024-02-03_02:04:19,1706925859.788,1706925859796367,2299,525877788,3848666624,-324576648,1326968,14125120,-5123933,-6096467,11857381,626744590
734,2024-02-03_02:04:19,1706925859.796,1706925859805437,2299,525877796,3848666624,-323249087,2939373,17708324,-4971312,-5828020,8750964,3739597363
735,2024-02-03_02:04:19,1706925859.804,1706925859812395,2299,525877804,3848666624,-335948104,623131,22504058,-5511705,-3667720,4684667,790998794
736,2024-02-03_02:04:19,1706925859.812,1706925859820228,2299,525877812,3848666624,-339126741,1552050,21892774,-6159672,-2172891,6500730,4264520460
737,2024-02-03_02:04:19,1706925859.82,1706925859828269,2299,525877820,3848666624,-341767538,2940514,21370763,-6037902,-982955,6166452,956490072
738,2024-02-03_02:04:19,1706925859.828,1706925859836485,2299,525877828,3848666624,-344801940,897890,22567312,-5716317,-345587,7919146,373122395
739,2024-02-03_02:04:19,1706925859.836,1706925859844314,2299,525877836,3848666624,-339197778,-539880,22631983,-5637810,188121,10312992,3887019618
740,2024-02-03_02:04:19,1706925859.844,1706925859852223,2299,525877844,3848666624,-333068088,4091406,22907384,-5567138,1946128,7944379,3117481283
741,2024-02-03_02:04:19,1706925859.852,1706925859860437,2299,525877852,3848666624,-339502625,-1517323,26231798,-5682547,3519808,7169109,3576247587
742,2024-02-03_02:04:19,1706925859.86,1706925859869348,2299,525877860,3848666624,-338661648,-1590547,25622293,-5917278,4975862,8643677,2670474572
743,2024-02-03_02:04:19,1706925859.868,1706925859876374,2299,525877868,3848666624,-331151337,4166693,24337596,-5852285,5799683,9841805,2373775105
744,2024-02-03_02:04:19,1706925859.876,1706925859884236,2299,525877876,3848666624,-335929479,1895029,27713707,-6387751,7507896,6968856,159644742
745,2024-02-03_02:04:19,1706925859.884,1706925859892405,2299,525877884,3848666624,-331569831,-2106470,25856983,-7294922,8498239,7569144,3651551416
746,2024-02-03_02:04:19,1706925859.892,1706925859901795,2299,525877892,3848666624,-317732403,-3510119,23721335,-7128247,6350153,8199327,1776598346
747,2024-02-03_02:04:19,1706925859.9,1706925859908224,2299,525877900,3848666624,-318068267,2131634,28368708,-6708963,4991260,5360004,3846459578
748,2024-02-03_02:04:19,1706925859.908,1706925859916369,2299,525877908,3848666624,-331409176,101865,32867713,-6857298,5106566,5372692,3148788872
749,2024-02-03_02:04:19,1706925859.916,1706925859924398,2299,525877916,3848666624,-334195251,-56094,31808926,-7161521,5470787,5656919,1789110079
750,2024-02-03_02:04:19,1706925859.924,1706925859932306,2299,525877924,3848666624,-332992975,-645805,30022030,-7536535,6291443,6619388,381981922
751,2024-02-03_02:04:19,1706925859.932,1706925859940285,2299,525877932,3848666624,-329620751,-3710441,25538203,-7689117,6050876,10483895,836989028
752,2024-02-03_02:04:19,1706925859.94,1706925859948424,2299,525877940,3848666624,-320603357,102030,18245920,-7682072,4297157,11467855,2207719971
753,2024-02-03_02:04:19,1706925859.948,1706925859956479,2299,525877948,3848666624,-319890204,4393845,21019463,-7176018,1398715,8115035,3933523449
754,2024-02-03_02:04:19,1706925859.956,1706925859965336,2299,525877956,3848666624,-327019250,-383505,28322877,-7348299,-78953,6983780,341153084
755,2024-02-03_02:04:19,1706925859.964,1706925859972320,2299,525877964,3848666624,-324559714,-3842077,27780357,-8480303,883849,9493436,1707177872
756,2024-02-03_02:04:19,1706925859.972,1706925859980344,2299,525877972,3848666624,-316904614,885984,25054246,-8901028,1281667,11479899,3760273526
757,2024-02-03_02:04:19,1706925859.98,1706925859988324,2299,525877980,3848666624,-315399588,1874424,21771334,-9304389,1728690,10690642,1283757361
758,2024-02-03_02:04:19,1706925859.988,1706925859996360,2299,525877988,3848666624,-313629372,188642,17138520,-9543183,1695801,9116970,3772477070
759,2024-02-03_02:04:20,1706925859.996,1706925860005004,2299,525877996,3848666624,-312713199,3385271,12537832,-9446968,254480,6737259,3991825149
760,2024-02-03_02:04:20,1706925860.004,1706925860012577,2299,525878004,3848666624,-316888243,-305388,14496045,-9101635,-1575167,4571554,814869757
761,2024-02-03_02:04:20,1706925860.012,1706925860020803,2299,525878012,3848666624,-317175938,-3389094,22244911,-8907986,-2502323,6111732,1951792665
762,2024-02-03_02:04:20,1706925860.02,1706925860028448,2299,525878020,3848666624,-311859710,124770,22512004,-9418348,-1685435,8778634,4162962618
763,2024-02-03_02:04:20,1706925860.028,1706925860036315,2299,525878028,3848666624,-309023925,1064146,18951868,-9929430,-690735,8145562,3198908160
764,2024-02-03_02:04:20,1706925860.036,1706925860044360,2299,525878036,3848666624,-307384845,4679125,17192642,-9972381,-1267715,6504838,3985846740
765,2024-02-03_02:04:20,1706925860.044,1706925860052396,2299,525878044,3848666624,-311598708,1812746,15891861,-9898038,-2556029,5217634,3661362452
766,2024-02-03_02:04:20,1706925860.052,1706925860061463,2299,525878052,3848666624,-316003525,-164701,15772312,-10072432,-3502389,3119979,400864758
767,2024-02-03_02:04:20,1706925860.06,1706925860068260,2299,525878060,3848666624,-313668973,1868167,15640329,-10250768,-4959928,3540384,473188936
768,2024-02-03_02:04:20,1706925860.068,1706925860076337,2299,525878068,3848666624,-308861183,2108311,17447458,-9859131,-6782266,2952917,1190083622
769,2024-02-03_02:04:20,1706925860.076,1706925860084495,2299,525878076,3848666624,-313144979,43399,19383624,-9621976,-7979261,739939,401675451
770,2024-02-03_02:04:20,1706925860.084,1706925860092360,2299,525878084,3848666624,-317121621,57298,18376508,-10025094,-8086856,274659,2602428740
771,2024-02-03_02:04:20,1706925860.092,1706925860100273,2299,525878092,3848666624,-317564500,-851542,17010202,-10176759,-8382630,762893,3151779523
772,2024-02-03_02:04:20,1706925860.1,1706925860108189,2299,525878100,3848666624,-319363980,-2237957,16915118,-9972727,-8664412,1261184,1236104970
773,2024-02-03_02:04:20,1706925860.108,1706925860116236,2299,525878108,3848666624,-315722961,2527057,15456580,-10422250,-8256973,1950649,3949863298
774,2024-02-03_02:04:20,1706925860.116,1706925860125248,2299,525878116,3848666624,-315108741,1129437,15372008,-10372387,-8715320,1270585,1229004843
775,2024-02-03_02:04:20,1706925860.124,1706925860132189,2299,525878124,3848666624,-317807431,319889,18125009,-9918385,-9014461,-1574789,1715247455
776,2024-02-03_02:04:20,1706925860.132,1706925860140338,2299,525878132,3848666624,-318480139,1971023,21783921,-10006769,-8352383,-1277836,1855618702
777,2024-02-03_02:04:20,1706925860.14,1706925860148247,2299,525878140,3848666624,-320568470,-42707,23967597,-10351586,-6562684,-1881514,946614022
778,2024-02-03_02:04:20,1706925860.148,1706925860156418,2299,525878148,3848666624,-323016061,172586,21930784,-11034639,-4175966,-2489625,1505338567
